order_id,order_date,customer_id,region,product,category,quantity,revenue,shipping_cost,status
1001,2026-01-03,C-101,West,Atlas Lamp,Lighting,2,258,22,Delivered
1002,2026-01-04,C-102,East,Drift Chair,Furniture,1,430,48,Delivered
1003,2026-01-05,C-101,West,Atlas Lamp,Lighting,1,129,11,Delivered
1004,2026-01-06,C-103,South,Solace Desk,Furniture,1,620,65,Delivered
1005,2026-01-09,C-104,West,Atlas Lamp,Lighting,3,387,35,Delivered
1006,2026-01-12,C-105,North,Arc Shelf,Storage,1,195,18,Returned
1007,2026-01-14,C-106,West,Drift Chair,Furniture,1,430,52,Delivered
1008,2026-01-17,C-102,East,Solace Desk,Furniture,1,620,61,Delivered
1009,2026-01-19,C-107,South,Arc Shelf,Storage,2,390,38,Delivered
1010,2026-01-22,C-108,West,Atlas Lamp,Lighting,1,129,14,Delivered
